Level,Date,NoOfVacancies,SkillLevel,State,Title
2,01/07/2014,389.59,5,TAS,TAS skill level 5
1,01/07/2014,2351.85,0,NT,NT TOTAL
2,01/07/2014,691.27,1,NT,NT skill level 1
2,01/07/2014,278.58,2,NT,NT skill level 2
2,01/07/2014,351.43,3,NT,NT skill level 3
2,01/07/2014,697.41,4,NT,NT skill level 4
2,01/07/2014,329.42,5,NT,NT skill level 5
1,01/07/2014,3660.94,0,ACT,ACT TOTAL
2,01/07/2014,1835.02,1,ACT,ACT skill level 1
2,01/07/2014,464.96,2,ACT,ACT skill level 2
2,01/07/2014,258.65,3,ACT,ACT skill level 3
2,01/07/2014,777.36,4,ACT,ACT skill level 4
2,01/07/2014,330.85,5,ACT,ACT skill level 5
0,01/07/2015,156170.04,0,AUST,AUSTRALIAN TOTAL
2,01/07/2015,59189.49,1,AUST,Australia skill level 1
2,01/07/2015,16228.64,2,AUST,Australia skill level 2
2,01/07/2015,18890.47,3,AUST,Australia skill level 3
2,01/07/2015,42691.94,4,AUST,Australia skill level 4
2,01/07/2015,18960.9,5,AUST,Australia skill level 5
1,01/07/2015,59251.54,0,NSW,NSW TOTAL
2,01/07/2015,24229.56,1,NSW,NSW skill level 1
2,01/07/2015,5917.56,2,NSW,NSW skill level 2
2,01/07/2015,6469.46,3,NSW,NSW skill level 3
2,01/07/2015,16182.95,4,NSW,NSW skill level 4
2,01/07/2015,6627.65,5,NSW,NSW skill level 5
1,01/07/2015,39217.37,0,VIC,VIC TOTAL
2,01/07/2015,15033.11,1,VIC,VIC skill level 1
2,01/07/2015,3997.47,2,VIC,VIC skill level 2
2,01/07/2015,4368.28,3,VIC,VIC skill level 3
2,01/07/2015,10802.44,4,VIC,VIC skill level 4
2,01/07/2015,4847.33,5,VIC,VIC skill level 5
1,01/07/2015,28575.17,0,QLD,QLD TOTAL
2,01/07/2015,9620.57,1,QLD,QLD skill level 1
2,01/07/2015,3042.83,2,QLD,QLD skill level 2
2,01/07/2015,3826.46,3,QLD,QLD skill level 3
2,01/07/2015,8039.99,4,QLD,QLD skill level 4
2,01/07/2015,3960.46,5,QLD,QLD skill level 5
1,01/07/2015,6016.3,0,SA,SA TOTAL
2,01/07/2015,1878.31,1,SA,SA skill level 1
2,01/07/2015,732.6,2,SA,SA skill level 2
2,01/07/2015,698.18,3,SA,SA skill level 3
2,01/07/2015,1713.5,4,SA,SA skill level 4
2,01/07/2015,906.59,5,SA,SA skill level 5
1,01/07/2015,15376.61,0,WA,WA TOTAL
2,01/07/2015,4870.15,1,WA,WA skill level 1
2,01/07/2015,1666.29,2,WA,WA skill level 2
2,01/07/2015,2651.15,3,WA,WA skill level 3
2,01/07/2015,4382.49,4,WA,WA skill level 4
2,01/07/2015,1783.28,5,WA,WA skill level 5
1,01/07/2015,1391.75,0,TAS,TAS TOTAL
2,01/07/2015,429.24,1,TAS,TAS skill level 1
2,01/07/2015,178.21,2,TAS,TAS skill level 2
2,01/07/2015,164.97,3,TAS,TAS skill level 3
2,01/07/2015,380.8,4,TAS,TAS skill level 4
2,01/07/2015,213.43,5,TAS,TAS skill level 5
1,01/07/2015,1997.36,0,NT,NT TOTAL
2,01/07/2015,646.53,1,NT,NT skill level 1
2,01/07/2015,237.91,2,NT,NT skill level 2
2,01/07/2015,321.33,3,NT,NT skill level 3
2,01/07/2015,527.18,4,NT,NT skill level 4
2,01/07/2015,258.4,5,NT,NT skill level 5
1,01/07/2015,4261.64,0,ACT,ACT TOTAL
2,01/07/2015,2157.99,1,ACT,ACT skill level 1
2,01/07/2015,475.64,2,ACT,ACT skill level 2
2,01/07/2015,333.35,3,ACT,ACT skill level 3
2,01/07/2015,956.84,4,ACT,ACT skill level 4
2,01/07/2015,344.89,5,ACT,ACT skill level 5
0,01/07/2016,164793.07,0,AUST,AUSTRALIAN TOTAL
2,01/07/2016,59829.92,1,AUST,Australia skill level 1
2,01/07/2016,17299.45,2,AUST,Australia skill level 2
2,01/07/2016,20147.35,3,AUST,Australia skill level 3
2,01/07/2016,44653.13,4,AUST,Australia skill level 4
2,01/07/2016,22647.05,5,AUST,Australia skill level 5
1,01/07/2016,65131.08,0,NSW,NSW TOTAL
2,01/07/2016,25374.58,1,NSW,NSW skill level 1
2,01/07/2016,6677.68,2,NSW,NSW skill level 2
2,01/07/2016,7277.07,3,NSW,NSW skill level 3
2,01/07/2016,17746.17,4,NSW,NSW skill level 4
2,01/07/2016,8316.15,5,NSW,NSW skill level 5
1,01/07/2016,42356.42,0,VIC,VIC TOTAL
2,01/07/2016,15535.02,1,VIC,VIC skill level 1
2,01/07/2016,4430.12,2,VIC,VIC skill level 2
2,01/07/2016,5115.3,3,VIC,VIC skill level 3
2,01/07/2016,11517.98,4,VIC,VIC skill level 4
2,01/07/2016,5592.99,5,VIC,VIC skill level 5
1,01/07/2016,29029.54,0,QLD,QLD TOTAL
2,01/07/2016,9206.21,1,QLD,QLD skill level 1
2,01/07/2016,3113.71,2,QLD,QLD skill level 2
2,01/07/2016,3893.66,3,QLD,QLD skill level 3
2,01/07/2016,8051.98,4,QLD,QLD skill level 4
2,01/07/2016,4640.28,5,QLD,QLD skill level 5
1,01/07/2016,7220.08,0,SA,SA TOTAL
2,01/07/2016,2028.44,1,SA,SA skill level 1
2,01/07/2016,715.95,2,SA,SA skill level 2
2,01/07/2016,919.29,3,SA,SA skill level 3
2,01/07/2016,2099.8,4,SA,SA skill level 4
2,01/07/2016,1361.94,5,SA,SA skill level 5
1,01/07/2016,12665.91,0,WA,WA TOTAL
2,01/07/2016,3950.64,1,WA,WA skill level 1
2,01/07/2016,1447.53,2,WA,WA skill level 2
2,01/07/2016,2026.58,3,WA,WA skill level 3
2,01/07/2016,3553.62,4,WA,WA skill level 4
2,01/07/2016,1651.69,5,WA,WA skill level 5
1,01/07/2016,1542.54,0,TAS,TAS TOTAL
2,01/07/2016,415.4,1,TAS,TAS skill level 1
2,01/07/2016,165.01,2,TAS,TAS skill level 2
2,01/07/2016,154.19,3,TAS,TAS skill level 3
2,01/07/2016,436.43,4,TAS,TAS skill level 4
2,01/07/2016,351.2,5,TAS,TAS skill level 5
1,01/07/2016,1935.4,0,NT,NT TOTAL
2,01/07/2016,636.74,1,NT,NT skill level 1
2,01/07/2016,235.26,2,NT,NT skill level 2
2,01/07/2016,299.05,3,NT,NT skill level 3
2,01/07/2016,514.1,4,NT,NT skill level 4
2,01/07/2016,243.28,5,NT,NT skill level 5
1,01/07/2016,4877.23,0,ACT,ACT TOTAL
2,01/07/2016,2422.88,1,ACT,ACT skill level 1
2,01/07/2016,545.7,2,ACT,ACT skill level 2
2,01/07/2016,426.05,3,ACT,ACT skill level 3
2,01/07/2016,1011.27,4,ACT,ACT skill level 4
2,01/07/2016,482.08,5,ACT,ACT skill level 5
0,01/06/2006,236631.8,0,AUST,AUSTRALIAN TOTAL
2,01/06/2006,78661.36,1,AUST,Australia skill level 1
2,01/06/2006,19493.65,2,AUST,Australia skill level 2
2,01/06/2006,25455.22,3,AUST,Australia skill level 3
2,01/06/2006,65632.89,4,AUST,Australia skill level 4
2,01/06/2006,46149.95,5,AUST,Australia skill level 5
1,01/06/2006,81646.87,0,NSW,NSW TOTAL
2,01/06/2006,32062.01,1,NSW,NSW skill level 1
2,01/06/2006,6432.21,2,NSW,NSW skill level 2
2,01/06/2006,7810.33,3,NSW,NSW skill level 3
2,01/06/2006,22608.23,4,NSW,NSW skill level 4
2,01/06/2006,12889.35,5,NSW,NSW skill level 5
1,01/06/2006,53732.61,0,VIC,VIC TOTAL
2,01/06/2006,18215.99,1,VIC,VIC skill level 1
2,01/06/2006,4193.65,2,VIC,VIC skill level 2
2,01/06/2006,5745.78,3,VIC,VIC skill level 3
2,01/06/2006,15231.86,4,VIC,VIC skill level 4
2,01/06/2006,10857.15,5,VIC,VIC skill level 5
1,01/06/2006,54623.85,0,QLD,QLD TOTAL
2,01/06/2006,15670.75,1,QLD,QLD skill level 1
2,01/06/2006,4953.62,2,QLD,QLD skill level 2
2,01/06/2006,6887.17,3,QLD,QLD skill level 3
2,01/06/2006,14860.04,4,QLD,QLD skill level 4
2,01/06/2006,12145.14,5,QLD,QLD skill level 5
1,01/06/2006,13638.85,0,SA,SA TOTAL
2,01/06/2006,3148.41,1,SA,SA skill level 1
2,01/06/2006,999.16,2,SA,SA skill level 2
2,01/06/2006,1769.2,3,SA,SA skill level 3
2,01/06/2006,4032.37,4,SA,SA skill level 4
2,01/06/2006,3678.22,5,SA,SA skill level 5
1,01/06/2006,22067.86,0,WA,WA TOTAL
2,01/06/2006,7105.1,1,WA,WA skill level 1
2,01/06/2006,2011.6,2,WA,WA skill level 2
2,01/06/2006,2282.03,3,WA,WA skill level 3
2,01/06/2006,6301.31,4,WA,WA skill level 4
2,01/06/2006,4327.51,5,WA,WA skill level 5
1,01/06/2006,2978.27,0,TAS,TAS TOTAL
2,01/06/2006,643.85,1,TAS,TAS skill level 1
2,01/06/2006,187.4,2,TAS,TAS skill level 2
2,01/06/2006,314.23,3,TAS,TAS skill level 3
2,01/06/2006,822.26,4,TAS,TAS skill level 4
2,01/06/2006,1032.97,5,TAS,TAS skill level 5
1,01/06/2006,3198.45,0,NT,NT TOTAL
2,01/06/2006,629.43,1,NT,NT skill level 1
2,01/06/2006,290.54,2,NT,NT skill level 2
2,01/06/2006,484.26,3,NT,NT skill level 3
2,01/06/2006,932.85,4,NT,NT skill level 4
2,01/06/2006,845.34,5,NT,NT skill level 5
1,01/06/2006,3714.33,0,ACT,ACT TOTAL
2,01/06/2006,1862.65,1,ACT,ACT skill level 1
2,01/06/2006,394.62,2,ACT,ACT skill level 2
2,01/06/2006,255.78,3,ACT,ACT skill level 3
2,01/06/2006,760.75,4,ACT,ACT skill level 4
2,01/06/2006,482.17,5,ACT,ACT skill level 5
0,01/06/2007,269845.26,0,AUST,AUSTRALIAN TOTAL
2,01/06/2007,88301.75,1,AUST,Australia skill level 1
2,01/06/2007,22115.3,2,AUST,Australia skill level 2
2,01/06/2007,28617.19,3,AUST,Australia skill level 3
2,01/06/2007,77144.42,4,AUST,Australia skill level 4
2,01/06/2007,52584.47,5,AUST,Australia skill level 5
1,01/06/2007,90175.74,0,NSW,NSW TOTAL
2,01/06/2007,34970.89,1,NSW,NSW skill level 1
2,01/06/2007,6974.44,2,NSW,NSW skill level 2
2,01/06/2007,8502.53,3,NSW,NSW skill level 3
2,01/06/2007,25324.06,4,NSW,NSW skill level 4
2,01/06/2007,14652.96,5,NSW,NSW skill level 5
1,01/06/2007,62839.15,0,VIC,VIC TOTAL
2,01/06/2007,20969.61,1,VIC,VIC skill level 1
2,01/06/2007,4962.85,2,VIC,VIC skill level 2
2,01/06/2007,6815.2,3,VIC,VIC skill level 3
2,01/06/2007,18155.42,4,VIC,VIC skill level 4
2,01/06/2007,12611.4,5,VIC,VIC skill level 5
1,01/06/2007,63688.25,0,QLD,QLD TOTAL
2,01/06/2007,17577.42,1,QLD,QLD skill level 1
2,01/06/2007,5834.62,2,QLD,QLD skill level 2
2,01/06/2007,7771.49,3,QLD,QLD skill level 3
2,01/06/2007,18517.24,4,QLD,QLD skill level 4
2,01/06/2007,13916.48,5,QLD,QLD skill level 5
1,01/06/2007,14852.92,0,SA,SA TOTAL
2,01/06/2007,3619.11,1,SA,SA skill level 1
2,01/06/2007,1064.5,2,SA,SA skill level 2
2,01/06/2007,1773.85,3,SA,SA skill level 3
2,01/06/2007,4299.14,4,SA,SA skill level 4
2,01/06/2007,4079.93,5,SA,SA skill level 5
1,01/06/2007,26355.62,0,WA,WA TOTAL
2,01/06/2007,8627.47,1,WA,WA skill level 1
2,01/06/2007,2352.77,2,WA,WA skill level 2
2,01/06/2007,2678.48,3,WA,WA skill level 3
2,01/06/2007,7764.42,4,WA,WA skill level 4
2,01/06/2007,4900.52,5,WA,WA skill level 5
1,01/06/2007,3127.02,0,TAS,TAS TOTAL
2,01/06/2007,589.07,1,TAS,TAS skill level 1
2,01/06/2007,179.61,2,TAS,TAS skill level 2
2,01/06/2007,387.59,3,TAS,TAS skill level 3
2,01/06/2007,924.21,4,TAS,TAS skill level 4
2,01/06/2007,1069.37,5,TAS,TAS skill level 5
1,01/06/2007,3282.58,0,NT,NT TOTAL
2,01/06/2007,695.23,1,NT,NT skill level 1
2,01/06/2007,269.73,2,NT,NT skill level 2
2,01/06/2007,453.12,3,NT,NT skill level 3
2,01/06/2007,998.26,4,NT,NT skill level 4
2,01/06/2007,845.97,5,NT,NT skill level 5
1,01/06/2007,4423.12,0,ACT,ACT TOTAL
2,01/06/2007,2126.23,1,ACT,ACT skill level 1
2,01/06/2007,460.32,2,ACT,ACT skill level 2
2,01/06/2007,300.74,3,ACT,ACT skill level 3
2,01/06/2007,1001.83,4,ACT,ACT skill level 4
2,01/06/2007,581.21,5,ACT,ACT skill level 5
0,01/06/2008,299534.49,0,AUST,AUSTRALIAN TOTAL
2,01/06/2008,107481.59,1,AUST,Australia skill level 1
2,01/06/2008,27432.47,2,AUST,Australia skill level 2
2,01/06/2008,32205.89,3,AUST,Australia skill level 3
2,01/06/2008,80109.33,4,AUST,Australia skill level 4
2,01/06/2008,50676.57,5,AUST,Australia skill level 5
1,01/06/2008,96655.8,0,NSW,NSW TOTAL
2,01/06/2008,40381.76,1,NSW,NSW skill level 1
2,01/06/2008,8089.97,2,NSW,NSW skill level 2
2,01/06/2008,9249.64,3,NSW,NSW skill level 3
2,01/06/2008,25172.59,4,NSW,NSW skill level 4
2,01/06/2008,13842.28,5,NSW,NSW skill level 5
1,01/06/2008,68387.42,0,VIC,VIC TOTAL
2,01/06/2008,24184.49,1,VIC,VIC skill level 1
2,01/06/2008,5973.79,2,VIC,VIC skill level 2
2,01/06/2008,7343.86,3,VIC,VIC skill level 3
2,01/06/2008,19301.73,4,VIC,VIC skill level 4
2,01/06/2008,12165.08,5,VIC,VIC skill level 5
1,01/06/2008,72739.75,0,QLD,QLD TOTAL
2,01/06/2008,23240.25,1,QLD,QLD skill level 1
2,01/06/2008,7868.75,2,QLD,QLD skill level 2
2,01/06/2008,8783.03,3,QLD,QLD skill level 3
2,01/06/2008,19098.06,4,QLD,QLD skill level 4
2,01/06/2008,13357.29,5,QLD,QLD skill level 5
1,01/06/2008,16968.25,0,SA,SA TOTAL
2,01/06/2008,4659.72,1,SA,SA skill level 1
2,01/06/2008,1347.88,2,SA,SA skill level 2
2,01/06/2008,2131.75,3,SA,SA skill level 3
2,01/06/2008,4882.01,4,SA,SA skill level 4
2,01/06/2008,3847.44,5,SA,SA skill level 5
1,01/06/2008,32042.58,0,WA,WA TOTAL
2,01/06/2008,12008.76,1,WA,WA skill level 1
2,01/06/2008,3036.31,2,WA,WA skill level 2
2,01/06/2008,3504.11,3,WA,WA skill level 3
2,01/06/2008,8521.48,4,WA,WA skill level 4
2,01/06/2008,4896.7,5,WA,WA skill level 5
1,01/06/2008,3086.39,0,TAS,TAS TOTAL
2,01/06/2008,733.15,1,TAS,TAS skill level 1
2,01/06/2008,212.93,2,TAS,TAS skill level 2
2,01/06/2008,328.26,3,TAS,TAS skill level 3
2,01/06/2008,823.3,4,TAS,TAS skill level 4
2,01/06/2008,964.37,5,TAS,TAS skill level 5
1,01/06/2008,3917.67,0,NT,NT TOTAL
2,01/06/2008,997.4,1,NT,NT skill level 1
2,01/06/2008,322.16,2,NT,NT skill level 2
2,01/06/2008,548.29,3,NT,NT skill level 3
2,01/06/2008,1188.53,4,NT,NT skill level 4
2,01/06/2008,856.2,5,NT,NT skill level 5
1,01/06/2008,5318.33,0,ACT,ACT TOTAL
2,01/06/2008,2499.25,1,ACT,ACT skill level 1
2,01/06/2008,641.56,2,ACT,ACT skill level 2
2,01/06/2008,412.53,3,ACT,ACT skill level 3
2,01/06/2008,1095.08,4,ACT,ACT skill level 4
2,01/06/2008,733.53,5,ACT,ACT skill level 5
0,01/06/2009,172776.17,0,AUST,AUSTRALIAN TOTAL
2,01/06/2009,60677.64,1,AUST,Australia skill level 1
2,01/06/2009,14344.35,2,AUST,Australia skill level 2
2,01/06/2009,20097.23,3,AUST,Australia skill level 3
2,01/06/2009,46257.41,4,AUST,Australia skill level 4
2,01/06/2009,31195.77,5,AUST,Australia skill level 5
1,01/06/2009,58034.75,0,NSW,NSW TOTAL
2,01/06/2009,23378.16,1,NSW,NSW skill level 1
2,01/06/2009,4517.79,2,NSW,NSW skill level 2
2,01/06/2009,6090.58,3,NSW,NSW skill level 3
2,01/06/2009,15436.74,4,NSW,NSW skill level 4
2,01/06/2009,8724.88,5,NSW,NSW skill level 5
1,01/06/2009,41944.29,0,VIC,VIC TOTAL
2,01/06/2009,14964.12,1,VIC,VIC skill level 1
2,01/06/2009,3502.67,2,VIC,VIC skill level 2
2,01/06/2009,4762.46,3,VIC,VIC skill level 3
2,01/06/2009,11140.49,4,VIC,VIC skill level 4
2,01/06/2009,8026.67,5,VIC,VIC skill level 5
1,01/06/2009,38417.25,0,QLD,QLD TOTAL
2,01/06/2009,11686.14,1,QLD,QLD skill level 1
2,01/06/2009,3274.38,2,QLD,QLD skill level 2
2,01/06/2009,5136.96,3,QLD,QLD skill level 3
2,01/06/2009,10524.65,4,QLD,QLD skill level 4
2,01/06/2009,7718.01,5,QLD,QLD skill level 5
1,01/06/2009,10951.21,0,SA,SA TOTAL
2,01/06/2009,2704.5,1,SA,SA skill level 1
2,01/06/2009,886.5,2,SA,SA skill level 2
2,01/06/2009,1555.99,3,SA,SA skill level 3
2,01/06/2009,3135.02,4,SA,SA skill level 4
2,01/06/2009,2626.84,5,SA,SA skill level 5
1,01/06/2009,15537.21,0,WA,WA TOTAL
2,01/06/2009,5823.86,1,WA,WA skill level 1
2,01/06/2009,1480.84,2,WA,WA skill level 2
2,01/06/2009,1749.44,3,WA,WA skill level 3
2,01/06/2009,4067.04,4,WA,WA skill level 4
2,01/06/2009,2427.76,5,WA,WA skill level 5
1,01/06/2009,2191.66,0,TAS,TAS TOTAL
2,01/06/2009,555,1,TAS,TAS skill level 1
2,01/06/2009,165.83,2,TAS,TAS skill level 2
2,01/06/2009,225.16,3,TAS,TAS skill level 3
2,01/06/2009,592.14,4,TAS,TAS skill level 4
2,01/06/2009,600.01,5,TAS,TAS skill level 5
1,01/06/2009,2598.06,0,NT,NT TOTAL
2,01/06/2009,608.73,1,NT,NT skill level 1
2,01/06/2009,244.64,2,NT,NT skill level 2
2,01/06/2009,414.3,3,NT,NT skill level 3
2,01/06/2009,768.34,4,NT,NT skill level 4
2,01/06/2009,570.75,5,NT,NT skill level 5
1,01/06/2009,3176.45,0,ACT,ACT TOTAL
2,01/06/2009,1675.69,1,ACT,ACT skill level 1
2,01/06/2009,327.94,2,ACT,ACT skill level 2
2,01/06/2009,215.82,3,ACT,ACT skill level 3
2,01/06/2009,594.7,4,ACT,ACT skill level 4
2,01/06/2009,391.55,5,ACT,ACT skill level 5
0,01/06/2010,184467.56,0,AUST,AUSTRALIAN TOTAL
2,01/06/2010,66468.65,1,AUST,Australia skill level 1
2,01/06/2010,16831.69,2,AUST,Australia skill level 2
2,01/06/2010,22239.57,3,AUST,Australia skill level 3
2,01/06/2010,49149.44,4,AUST,Australia skill level 4
2,01/06/2010,29740.46,5,AUST,Australia skill level 5
1,01/06/2010,60600.19,0,NSW,NSW TOTAL
2,01/06/2010,25201.27,1,NSW,NSW skill level 1
2,01/06/2010,5269.65,2,NSW,NSW skill level 2
2,01/06/2010,6609.46,3,NSW,NSW skill level 3
2,01/06/2010,15164.58,4,NSW,NSW skill level 4
2,01/06/2010,8429.27,5,NSW,NSW skill level 5
1,01/06/2010,43708.43,0,VIC,VIC TOTAL
2,01/06/2010,15969.14,1,VIC,VIC skill level 1
2,01/06/2010,4016.18,2,VIC,VIC skill level 2
2,01/06/2010,5153.38,3,VIC,VIC skill level 3
2,01/06/2010,11867.17,4,VIC,VIC skill level 4
2,01/06/2010,7099.05,5,VIC,VIC skill level 5
1,01/06/2010,37513.27,0,QLD,QLD TOTAL
2,01/06/2010,12168.8,1,QLD,QLD skill level 1
2,01/06/2010,3513.65,2,QLD,QLD skill level 2
2,01/06/2010,5002.54,3,QLD,QLD skill level 3
2,01/06/2010,10178.63,4,QLD,QLD skill level 4
2,01/06/2010,6527.35,5,QLD,QLD skill level 5
1,01/06/2010,10964.52,0,SA,SA TOTAL
2,01/06/2010,2847.91,1,SA,SA skill level 1
2,01/06/2010,931.68,2,SA,SA skill level 2
2,01/06/2010,1527.17,3,SA,SA skill level 3
2,01/06/2010,3166.93,4,SA,SA skill level 4
2,01/06/2010,2436.07,5,SA,SA skill level 5
1,01/06/2010,21659.69,0,WA,WA TOTAL
2,01/06/2010,7519.08,1,WA,WA skill level 1
2,01/06/2010,2102.56,2,WA,WA skill level 2
2,01/06/2010,2702.72,3,WA,WA skill level 3
2,01/06/2010,6092.97,4,WA,WA skill level 4
2,01/06/2010,3340.86,5,WA,WA skill level 5
1,01/06/2010,2321.02,0,TAS,TAS TOTAL
2,01/06/2010,548,1,TAS,TAS skill level 1
2,01/06/2010,186.33,2,TAS,TAS skill level 2
2,01/06/2010,298.63,3,TAS,TAS skill level 3
2,01/06/2010,652.94,4,TAS,TAS skill level 4
2,01/06/2010,576.2,5,TAS,TAS skill level 5
1,01/06/2010,3600.35,0,NT,NT TOTAL
2,01/06/2010,966.01,1,NT,NT skill level 1
2,01/06/2010,368.22,2,NT,NT skill level 2
2,01/06/2010,559.88,3,NT,NT skill level 3
2,01/06/2010,1093.28,4,NT,NT skill level 4
2,01/06/2010,602.99,5,NT,NT skill level 5
1,01/06/2010,4594.12,0,ACT,ACT TOTAL
2,01/06/2010,2182.43,1,ACT,ACT skill level 1
2,01/06/2010,547.69,2,ACT,ACT skill level 2
2,01/06/2010,402.53,3,ACT,ACT skill level 3
2,01/06/2010,952.58,4,ACT,ACT skill level 4
2,01/06/2010,546.28,5,ACT,ACT skill level 5
0,01/06/2011,199603.85,0,AUST,AUSTRALIAN TOTAL
2,01/06/2011,72472.54,1,AUST,Australia skill level 1
2,01/06/2011,18067.51,2,AUST,Australia skill level 2
2,01/06/2011,23857.78,3,AUST,Australia skill level 3
2,01/06/2011,54342.22,4,AUST,Australia skill level 4
2,01/06/2011,31044.88,5,AUST,Australia skill level 5
1,01/06/2011,61100.9,0,NSW,NSW TOTAL
2,01/06/2011,24695.4,1,NSW,NSW skill level 1
2,01/06/2011,5294.37,2,NSW,NSW skill level 2
2,01/06/2011,6318.51,3,NSW,NSW skill level 3
2,01/06/2011,16467.84,4,NSW,NSW skill level 4
2,01/06/2011,8341.44,5,NSW,NSW skill level 5
1,01/06/2011,47171.7,0,VIC,VIC TOTAL
2,01/06/2011,17064.18,1,VIC,VIC skill level 1
2,01/06/2011,4365.14,2,VIC,VIC skill level 2
2,01/06/2011,5451.8,3,VIC,VIC skill level 3
2,01/06/2011,13300.96,4,VIC,VIC skill level 4
2,01/06/2011,7450.87,5,VIC,VIC skill level 5
1,01/06/2011,43010.77,0,QLD,QLD TOTAL
2,01/06/2011,14154.92,1,QLD,QLD skill level 1
2,01/06/2011,3917.13,2,QLD,QLD skill level 2
2,01/06/2011,6136.39,3,QLD,QLD skill level 3
2,01/06/2011,11552.46,4,QLD,QLD skill level 4
2,01/06/2011,7152.59,5,QLD,QLD skill level 5
1,01/06/2011,11129.07,0,SA,SA TOTAL
2,01/06/2011,3066.25,1,SA,SA skill level 1
2,01/06/2011,929.85,2,SA,SA skill level 2
2,01/06/2011,1470.4,3,SA,SA skill level 3
2,01/06/2011,3187.16,4,SA,SA skill level 4
2,01/06/2011,2436.14,5,SA,SA skill level 5
1,01/06/2011,27434.23,0,WA,WA TOTAL
2,01/06/2011,10460.43,1,WA,WA skill level 1
2,01/06/2011,2596.82,2,WA,WA skill level 2
2,01/06/2011,3384.33,3,WA,WA skill level 3
2,01/06/2011,7229.51,4,WA,WA skill level 4
2,01/06/2011,3956.42,5,WA,WA skill level 5
1,01/06/2011,1929.06,0,TAS,TAS TOTAL
2,01/06/2011,388.25,1,TAS,TAS skill level 1
2,01/06/2011,184.34,2,TAS,TAS skill level 2
2,01/06/2011,247.92,3,TAS,TAS skill level 3
2,01/06/2011,560.2,4,TAS,TAS skill level 4
2,01/06/2011,490.84,5,TAS,TAS skill level 5
1,01/06/2011,3535.6,0,NT,NT TOTAL
2,01/06/2011,964.76,1,NT,NT skill level 1
2,01/06/2011,359.21,2,NT,NT skill level 2
2,01/06/2011,568.84,3,NT,NT skill level 3
2,01/06/2011,1053.44,4,NT,NT skill level 4
2,01/06/2011,554.44,5,NT,NT skill level 5
1,01/06/2011,5226.28,0,ACT,ACT TOTAL
2,01/06/2011,2757.24,1,ACT,ACT skill level 1
2,01/06/2011,554.57,2,ACT,ACT skill level 2
2,01/06/2011,334.14,3,ACT,ACT skill level 3
2,01/06/2011,1099.98,4,ACT,ACT skill level 4
2,01/06/2011,493.69,5,ACT,ACT skill level 5
0,01/06/2012,177528.72,0,AUST,AUSTRALIAN TOTAL
2,01/06/2012,66285.71,1,AUST,Australia skill level 1
2,01/06/2012,16306.01,2,AUST,Australia skill level 2
2,01/06/2012,21416.41,3,AUST,Australia skill level 3
2,01/06/2012,47678.41,4,AUST,Australia skill level 4
2,01/06/2012,25921.45,5,AUST,Australia skill level 5
1,01/06/2012,53423.72,0,NSW,NSW TOTAL
2,01/06/2012,21312.82,1,NSW,NSW skill level 1
2,01/06/2012,4580.37,2,NSW,NSW skill level 2
2,01/06/2012,5695.35,3,NSW,NSW skill level 3
2,01/06/2012,14401.75,4,NSW,NSW skill level 4
2,01/06/2012,7407.55,5,NSW,NSW skill level 5
1,01/06/2012,38784.03,0,VIC,VIC TOTAL
2,01/06/2012,14356.48,1,VIC,VIC skill level 1
2,01/06/2012,3563.75,2,VIC,VIC skill level 2
2,01/06/2012,4456.28,3,VIC,VIC skill level 3
2,01/06/2012,10781.73,4,VIC,VIC skill level 4
2,01/06/2012,5920.29,5,VIC,VIC skill level 5
1,01/06/2012,40205.68,0,QLD,QLD TOTAL
2,01/06/2012,14036.77,1,QLD,QLD skill level 1
2,01/06/2012,3940,2,QLD,QLD skill level 2
2,01/06/2012,5330.65,3,QLD,QLD skill level 3
2,01/06/2012,10613.09,4,QLD,QLD skill level 4
2,01/06/2012,6189.36,5,QLD,QLD skill level 5
1,01/06/2012,9205.13,0,SA,SA TOTAL
2,01/06/2012,2599.28,1,SA,SA skill level 1
2,01/06/2012,790.62,2,SA,SA skill level 2
2,01/06/2012,1181.52,3,SA,SA skill level 3
2,01/06/2012,2703.09,4,SA,SA skill level 4
2,01/06/2012,1873.53,5,SA,SA skill level 5
1,01/06/2012,27923.94,0,WA,WA TOTAL
2,01/06/2012,11487.81,1,WA,WA skill level 1
2,01/06/2012,2626.48,2,WA,WA skill level 2
2,01/06/2012,3853.65,3,WA,WA skill level 3
2,01/06/2012,7016.45,4,WA,WA skill level 4
2,01/06/2012,3074.23,5,WA,WA skill level 5
1,01/06/2012,1518.05,0,TAS,TAS TOTAL
2,01/06/2012,385.5,1,TAS,TAS skill level 1
2,01/06/2012,103.53,2,TAS,TAS skill level 2
2,01/06/2012,227.99,3,TAS,TAS skill level 3
2,01/06/2012,371.23,4,TAS,TAS skill level 4
2,01/06/2012,379.88,5,TAS,TAS skill level 5
1,01/06/2012,3032.1,0,NT,NT TOTAL
2,01/06/2012,843.77,1,NT,NT skill level 1
2,01/06/2012,335.98,2,NT,NT skill level 2
2,01/06/2012,408.94,3,NT,NT skill level 3
2,01/06/2012,919.49,4,NT,NT skill level 4
2,01/06/2012,472.91,5,NT,NT skill level 5
1,01/06/2012,4391.28,0,ACT,ACT TOTAL
2,01/06/2012,2238.51,1,ACT,ACT skill level 1
2,01/06/2012,455.42,2,ACT,ACT skill level 2
